연번,시군명,시설명,주소,연락처,시설인원,운영주체,시설설치일
30,창원시,명진노인요양원,경상남도 창원시 마산합포구 진전면 남해안대로  4504-102 (진전면),055-271-6022,26,사회복지법인,2010-03-10
31,창원시,새론케어,경상남도 창원시 마산합포구 무학로  416 (자산동),055-245-6696,78,개인,2023-04-17
32,창원시,성진노인요양시설,경상남도 창원시 마산합포구 진동면 도만1길  82-33 (진동면),055-271-8891,25,개인,2009-03-06
33,창원시,연세실버요양센터,경상남도 창원시 마산합포구 숲안길  40 (예곡동),055-246-0080,95,개인,2022-12-19
34,창원시,우리노인요양원,경상남도 창원시 마산합포구 진전면 원산2길  67 (진전면),055-271-9470,67,사회복지법인,2003-11-12
35,창원시,참좋은집,경상남도 창원시 마산합포구 완월동1길  21 (장군동3가),055-243-8890,9,개인,2023-05-15
36,창원시,춘추원,경상남도 창원시 마산합포구 구산면 해양관광로  1619 (구산면),055-222-1955,80,사회복지법인,1997-12-31
37,창원시,마산노인전문요양원,경상남도 창원시 마산회원구 내서읍 숲속로  62 (내서읍),055-232-8747,32,사회복지법인,2010-03-01
38,창원시,마산대학교노인전문요양원,"경상남도 창원시 마산회원구 내서읍 함마대로  2640 (내서읍, 청강기념관)",055-230-1151,47,학교법인,2008-05-29
39,창원시,백세행복요양원 내서점,경상남도 창원시 마산회원구 내서읍 광려로  90 3층 (내서읍),055-232-1015,28,개인,2022-01-17
40,창원시,소담한방요양원,경상남도 창원시 마산회원구 3·15대로  537 (회원동),055-244-3023,92,개인,2019-02-21
41,창원시,양지실버요양원,경상남도 창원시 마산회원구 무학로  615 (회원동),055-222-2338,29,개인,2014-05-01
42,창원시,어부바노인복지센터,경상남도 창원시 마산회원구 내서읍 상곡로  98-9 (내서읍),055-232-2397,6,개인,2019-08-01
43,창원시,에덴재활요양센터,"경상남도 창원시 마산회원구 내서읍 광려로  41 501,601호 (내서읍, 청남우노프라자)",055-253-3444,30,개인,2023-03-10
44,창원시,참조은노인복지센터,경상남도 창원시 마산회원구 3·15대로  576-3 3층 (회원동),055-245-3900,9,개인,2022-04-14
45,창원시,창원삼계요양원,경상남도 창원시 마산회원구 내서읍 숲속로  105 (내서읍),055-232-6268,21,사회복지법인,2008-07-10
46,창원시,곰메실버원,경상남도 창원시 진해구 진해대로970번길  34 (풍호동),055-545-0107,55,사회복지법인,2008-05-30
47,창원시,늘푸른홈케어,"경상남도 창원시 진해구 중원로80번길  5 201, 202호 (송학동, 금화아파트)",055-543-4747,24,개인,2020-05-15
48,창원시,새날노인돌봄의집,"경상남도 창원시 진해구 충장로  325 202호 (경화동, 한빛프라자)",055-547-4686,9,종교법인,2008-05-30
49,창원시,실로암요양원,"경상남도 창원시 진해구 웅천동로  126 3,4층 (남문동)",055-546-3217,48,개인,2018-10-10
50,창원시,에버그린 실버홈,경상남도 창원시 진해구 용원중로5번길  8-6 (용원동),055-546-5211,9,개인,2016-02-05
51,창원시,은빛노인센터,경상남도 창원시 진해구 용원로89번안길  10-8 (용원동),055-552-5502,7,개인,2011-06-01
52,창원시,정혜원 진해요양원,경상남도 창원시 진해구 남영로473번길  60 (남양동),055-547-7400,119,사회복지법인,2008-05-30
53,창원시,진해금강요양원,경상남도 창원시 진해구 해원로2번길  7 (이동),055-546-9179,99,사회복지법인,2014-02-18
54,창원시,해피요양원,경상남도 창원시 진해구 충장로  172 (충무동),055-815-7575,45,개인,2023-10-19
55,창원시,호산나 노인요양원,경상남도 창원시 진해구 남영로452번길  31 (남양동),055-542-9321,8,개인,2010-06-24
56,창원시,효덕실버요양원,경상남도 창원시 진해구 용원로  9 (용원동),055-552-9014,19,개인,2015-07-01
57,창원시,효림요양원,경상남도 창원시 진해구 남영로473번길  60 (남양동),055-547-6006,62,사회복지법인,2019-06-01
58,진주시,동행요양원,경상남도 진주시 서장대로 185번길 15 (이현동),055-795-1122,3,개인,20241211
59,진주시,진주남강요양원,경상남도 진주시 대곡면 진의로 600,055-757-6512,24,개인,20130304 
60,진주시,그랜하우스요양원,경상남도 진주시 내동면 신율길 35-5,055-752-8993,20,개인,20231001
61,진주시,행복요양원,경상남도 진주시 금곡면 금곡로 83번길 86,055-754-7588,18,개인,20240401
62,진주시,애명노인요양원,경상남도 진주시 문산읍 제곡길98번길 30,055-762-3810,90,사회복지법인,20050416
63,진주시,새진주요양원,경상남도 진주시 집현면 진산로 1497번길 60,055-748-8815,15,개인,20170601
64,진주시,공덕의집 노인요양원,경상남도 진주시 집현면 진주성로 241-5,055-744-3800,27,사회복지법인,20071203
65,진주시,진주실버센터,경상남도 진주시 대곡면 소실길 274,055-744-7575,88,사회복지법인,20070622
66,진주시,참행복한요양원,경상남도 진주시 집현면 한치골길 125,055-754-3087,64,개인,20170612
67,진주시,청담요양원,경상남도 진주시 남강로 681 (동성동),055-763-4555,54,개인,20200604
68,진주시,진주성모요양원,경상남도 진주시 대평면 호반로 1456,055-747-2401,112,사회복지법인,20120321
69,진주시,온정노인요양원,경상남도 진주시 대평면 신풍길 126,055-745-5003,21,개인,20160702
70,진주시,효원실버그룹홈2호,경상남도 진주시 명석면 광제산로 779-7,055-742-8898,9,개인,20130430
71,진주시,서경요양원,경상남도 진주시 금곡면 정자천로15번길47,055-762-9986,75,개인,20220228
72,진주시,명석노인요양공동생활가정,경상남도 진주시 광제산로 139-8,055-745-1192,9,개인,20110217
73,진주시,경남노인전문요양원,경상남도 진주시 천수로 163번길 15,055-756-3399,29,개인,20170125
74,진주시,진주요양원,경상남도 진주시 문산읍 제곡길98번길 46,055-763-2541,80,사회복지법인,20010401
75,진주시,행복의 집,경상남도 진주시 금산면 금산로 246,055-762-6188,20,개인,20130812
76,진주시,도리원,경상남도 진주시 내동면 삼계로 258번길57,055-757-5103,34,개인,20110905
77,진주시,반도노인요양원,경상남도 진주시 미천면 오방로 644-14,055-744-9191,130,사회복지법인,20100928
78,진주시,효원실버그룹홈3호,경상남도 진주시 명석면 광제산로 779-5,055-742-8891,9,개인,20160104
79,진주시,천진복지타운,경상남도 진주시 수곡면 원창길288,055-758-8123,25,사회복지법인,20091123 
80,진주시,둥지너싱홈,경상남도 진주시 남강로 1737-44(집현면),055-772-6655,38,개인,20051226 
81,진주시,김경옥실버홈,경상남도 진주시 대곡면 진의로 874번길 23(가정리),055-741-6688,9,개인,20230701 
82,진주시,연지실버로드요양원,경상남도 진주시 내축로 577번길82,055-761-4149,27,개인,20180403 
83,진주시,참진주요양원,경상남도 진주시 내동면 호반로 55,055-757-9004,49,개인,20230201 
84,진주시,경남목화요양원,경상남도 진주시 정촌면 정촌로 658,055-747-3256,25,개인,20240801 
85,진주시,한마음요양원,경상남도 진주시 주약약골길 75번길 25,055-762-0706,2,개인,20241016
86,진주시,진주 동부요양원,경상남도 진주시 사봉면 지사로 28,055-758-1911,41,개인,20210531 
87,진주시,효원실버그룹홈,경상남도 진주시 명석면 광제산로 779-9,055-746-4041,9,개인,20110930 
88,진주시,와이즈봄진주요양원,경상남도 진주시 동부로326번길 45-4,055-747-1100,8,개인,20241201 
89,통영시,해송노인전문요양원,경상남도 통영시 용남면 용남해안로  108-30 (용남면),055-649-5605,78,사회복지법인,2008-05-26
90,통영시,통영 보금자리 요양원,경상남도 통영시 용남면 논싯골길  193 (용남면),055-645-7974,23,사회복지법인,2009-11-10
91,통영시,만월노인요양원,경상남도 통영시 산양읍 미륵산길  212 (산양읍),055-648-1186,80,사회복지법인,2010-01-20
92,통영시,가경노인요양원,경상남도 통영시 용남면 기호안길  14-50 (용남면),055-645-3873,54,사회복지법인,2011-05-20
93,통영시,효은노인요양원,경상남도 통영시 미수로  76-31 (미수동),055-641-1414,43,사회복지법인,2011-11-24
94,통영시,대건노인요양원,경상남도 통영시 광도면 남해안대로  1370-72 (광도면),055-644-8133,24,개인,2017-11-16
95,통영시,통영실버타운요양원,경상남도 통영시 여황로  400-8 1~4층 (북신동),055-644-0070,86,개인,2018-12-26
96,통영시,통영참사랑요양원,경상남도 통영시 광도면 홀리1길  265-47 (광도면),055-649-1100,58,개인,2023-03-17
97,통영시,노인요양공동생활가정 아름다운집,경상남도 통영시 도산면 한퇴길  397-218 (도산면),055-642-4818,9,개인,2024-05-10
98,사천시,사천실버요양원,경상남도 사천시 서포면 자구로  279-9 (서포면),055-853-2002,19,사회복지법인,2008-06-11
99,사천시,사천노인전문요양원,경상남도 사천시 진동길  150 (죽림동),055-833-8829,65,사회복지법인,2008-06-30
100,사천시,삼천포요양원,경상남도 사천시 동금3길  19-5 (동금동),055-834-8080,77,사회복지법인,2009-10-19
101,사천시,사천행복요양원,경상남도 사천시 백천길  16 (백천동),055-835-4070,56,사회복지법인,2010-03-01
102,사천시,부모님의 집,경상남도 사천시 사남면 계양길  59 (사남면),055-855-7887,63,사회복지법인,2010-03-24
103,사천시,주사랑노인요양센터,경상남도 사천시 정동면 쇠실1길  55-23 (정동면),055-854-9014,26,개인,2010-04-20
104,사천시,사천건양요양원,경상남도 사천시 사천읍 구암두문로  338 (사천읍),055-854-5900,82,사회복지법인,2010-05-06
105,사천시,한마음노인요양센터,경상남도 사천시 축동면 배춘길  106-36 (축동면),055-852-7815,20,개인,2010-11-02
106,사천시,참사랑노인요양센터,경상남도 사천시 정동면 복상2길  7 (정동면),055-855-9500,18,개인,2013-04-12
107,사천시,양지실버원,경상남도 사천시 새고개길  120 (좌룡동),055-835-6736,50,개인,2014-03-17
108,사천시,사천솔밭요양원,경상남도 사천시 서포면 서포로  351-70 (서포면),055-855-7117,47,개인,2014-08-01
109,사천시,성남두레복지원,경상남도 사천시 사천읍 토촌길  143 (사천읍),055-852-5929,27,개인,2014-08-14
110,사천시,완사노인요양원,경상남도 사천시 곤명면 경서대로  3433 (곤명면),055-855-7585,23,사회복지법인,2016-05-27
111,사천시,늘푸른노인요양원,경상남도 사천시 서포면 자구로  445-13 (서포면),055-853-1259,20,개인,2018-05-01
112,사천시,참행복한요양원,경상남도 사천시 사천대로  726-1 (노룡동),055-834-1201,70,개인,2020-11-09
113,사천시,샘터노인요양원,경상남도 사천시 사남면 사남로  798 (사남면),055-855-4905,26,개인,2021-07-01
114,사천시,효담요양원,경상남도 사천시 사천읍 두량공원길  16 (사천읍),055-854-1004,27,개인,2021-11-05
115,김해시,효능원노인전문요양원,경상남도 김해시 진영읍 서부로38번길  77-35 (진영읍),055-342-4441,67,사회복지법인,2008-05-30
116,김해시,보현행원노인요양원,경상남도 김해시 주촌면 서부로1295번길  219 (주촌면),055-329-1733,73,사회복지법인,2008-05-30
117,김해시,조은노인전문요양원,경상남도 김해시 진영읍 서부로38번길  77-38 (진영읍),055-342-5800,82,사회복지법인,2008-05-30
118,김해시,김해보훈요양원,경상남도 김해시 진영읍 하계로  127 (진영읍),055-340-8585,190,기타,2009-08-17
119,김해시,에덴복지원,경상남도 김해시 생림면 인제로  756 (생림면),055-323-7628,3,개인,2010-03-12
120,김해시,늘푸른요양원,경상남도 김해시 상동면 상동로  547-18 (상동면),055-338-5082,7,개인,2011-01-11
121,김해시,가야대학교 가야노인전문요양원,경상남도 김해시 삼계로  208 (삼계동),055-330-1019,86,학교법인,2011-06-02
122,김해시,김해늘푸른요양원,경상남도 김해시 상동면 상동로  547-18 2층 (상동면),055-338-5082,8,개인,2013-02-01
123,김해시,충만요양원,"경상남도 김해시 인제로  57 4층401호 (어방동, 예스향원정)",055-346-5352,20,개인,2013-05-01
124,김해시,밝은 요양원,경상남도 김해시 평전로  19 2층 (외동),055-313-3845,25,개인,2017-06-15
125,김해시,행복한요양원,경상남도 김해시 분성로  455 2층 (삼정동),055-313-9268,9,개인,2019-06-01
126,김해시,김해중앙요양원,"경상남도 김해시 분성로376번길  9 (동상동, 김해중앙요양원)",055-338-5743,63,개인,2020-03-01
127,김해시,여명실버하우스,경상남도 김해시 인제로  57 6층 (어방동),055-327-7599,27,개인,2020-05-01
128,김해시,늘편한실버홈요양원,경상남도 김해시 가락로332번길  26 (구산동),055-324-2474,28,개인,2020-07-10
129,김해시,김해시립요양원,경상남도 김해시 대동면 대동로  62 (대동면),055-344-2600,39,재단법인,2022-04-01
130,김해시,늘봄요양원,"경상남도 김해시 분성로  455 1,3,4,5층 (삼정동)",055-328-9400,29,개인,2022-05-01
131,김해시,은석요양원,경상남도 김해시 활천로  294 2층 (삼방동),055-815-7002,47,개인,2022-10-13
132,김해시,김해골든케어요양원,경상남도 김해시 인제로51번길  54-10 (삼정동),055-314-8100,84,개인,2023-09-01
133,김해시,행복한실버타운요양원,경상남도 김해시 번화1로80번길  5 (대청동),055-812-8100,28,개인,2024-01-30
134,김해시,실버파크요양원,경상남도 김해시 인제로188번길  10 6층 (어방동),055-328-3633,9,개인,2024-08-01
135,밀양시,밀양시립노인요양원,경상남도 밀양시 산외면 금곡1길  40 (산외면),055-356-8877,80,사회복지법인,2008-05-15
136,밀양시,덕인노인전문요양원,"경상남도 밀양시 하남읍 남전3길  34-64 (하남읍, 외4필지)",055-391-1253,76,사회복지법인,2008-05-30
137,밀양시,섬김의 집,경상남도 밀양시 상남면 인산남길  26 (상남면),055-351-0156,9,개인,2008-06-30
138,밀양시,소망요양원,경상남도 밀양시 무안면 무안로  96-38 (무안면),055-351-1195,22,개인,2010-09-17
139,밀양시,명성노인요양원,경상남도 밀양시 산외면 남기3길  21 (산외면),055-354-5770,26,개인,2011-03-31
140,밀양시,노인요양시설 효심마을,경상남도 밀양시 무안면 무안로  18 (무안면),055-351-1990,25,개인,2011-06-15
141,밀양시,참조은노인요양원,경상남도 밀양시 무안면 고사길  51 (무안면),055-352-1163,50,사회복지법인,2011-08-22
142,밀양시,천명사자비원,경상남도 밀양시 부북면 퇴로로  171-8 (부북면),055-355-0803,24,개인,2011-08-24
143,밀양시,우리들요양원,경상남도 밀양시 부북면 춘기1길  7 (부북면),055-354-1605,39,사회복지법인,2012-07-09
144,밀양시,기쁨요양원,경상남도 밀양시 산내면 산내로  646 (산내면),055-353-0930,44,개인,2013-12-26
145,밀양시,한가족 노인요양원,경상남도 밀양시 무안면 부로길  91 (무안면),055-354-8321,13,개인,2014-06-16
146,밀양시,행복한 너싱홈 노인요양원,경상남도 밀양시 상동면 안인1길  32-13 (상동면),055-353-6781,26,개인,2015-01-12
147,밀양시,호밥이네 노인요양원,경상남도 밀양시 상남면 외산길  7 (상남면),055-353-5581,9,개인,2016-01-15
148,밀양시,사랑요양원,경상남도 밀양시 단장면 단장로  1166-29 (단장면),055-356-2289,9,개인,2016-02-26
149,밀양시,단비요양원,경상남도 밀양시 무안면 가복4길  37-2 (무안면),055-355-6689,11,개인,2016-12-29
150,밀양시,강남요양원,경상남도 밀양시 삼랑진읍 청학2길  35 (삼랑진읍),055-354-3003,35,개인,2018-12-06
151,밀양시,송남요양원,경상남도 밀양시 단장면 무릉3길  14-10 (단장면),055-351-1383,10,개인,2021-01-18
152,거제시,노인요양원 솔향,경상남도 거제시 거제면 거제남서로  3568 (거제면),055-633-1961,97,사회복지법인,2008-05-28
153,거제시,노인요양원 정원,경상남도 거제시 거제면 두동로  308-19 (거제면),055-634-0777,96,사회복지법인,2009-04-22
154,거제시,파랑포안나의집,경상남도 거제시 팔랑포2길  52 (옥포동),055-687-4890,18,재단법인,2010-06-04
155,거제시,거제실버웰 노인요양센터,경상남도 거제시 사등면 청곡길  37 (사등면),055-633-8067,54,사회복지법인,2011-04-01
156,거제시,선인노인요양원,경상남도 거제시 하청면 유계7길  6-10 (하청면),055-635-3312,92,사회복지법인,2014-01-13
157,거제시,온요양원,경상남도 거제시 사등면 두동로  50 (사등면),055-632-8542,0,개인,2019-09-11
158,거제시,무지개숲요양원,경상남도 거제시 남부면 남부해안로  148 (남부면),055-637-0020,21,개인,2021-09-27
159,거제시,성진실요양원,경상남도 거제시 거제중앙로15길  40 2층 (고현동),055-635-2555,48,개인,2021-11-02
160,거제시,행복비치재활요양원,경상남도 거제시 능포로  233 (능포동),055-682-7300,75,개인,2022-04-19
161,거제시,거제엘림요양원,경상남도 거제시 진목2길  29-1 (옥포동),055-633-0688,44,개인,2022-09-29
162,거제시,수월요양원,경상남도 거제시 수월1길  78 (수월동),055-635-6692,27,개인,2024-02-07
163,양산시,감사의 집,경상남도 양산시 물금읍 서남5길  17-28 (물금읍),055-383-7750,54,사회복지법인,2008-05-26
164,양산시,양산요양원,경상남도 양산시 어곡로  205 (어곡동),055-366-6877,53,사회복지법인,2008-05-27
165,양산시,통도사자비원전문요양시설,경상남도 양산시 하북면 월평1길  17 (하북면),055-381-2005,72,사회복지법인,2008-05-28
166,양산시,성요셉노인전문요양원,"경상남도 양산시 대운1길 111,(명동)",055-365-1910,83,사회복지법인,2007-04-27
167,양산시,성요셉노인요양원,경상남도 양산시 대운1길 111,055-365-1910,105,사회복지법인,2004-04-21
168,양산시,통도사자비원요양시설,경상남도 양산시 하북면 월평1길  21 (하북면),055-383-3999,71,사회복지법인,2008-06-10
169,양산시,성요셉소규모노인종합센터,경상남도 양산시 대운1길 111(명동),055-365-1910,22,사회복지법인,2008-10-01
170,양산시,성모요양의집,경상남도 양산시 삼일로  117 (중부동),055-381-9117,6,개인,2009-09-30
171,양산시,안심노인건강센터,경상남도 양산시 명동6길 15,055-387-9966,16,사단법인,2011-03-16
172,양산시,심청실버홈,"경상남도 양산시 상북면 감결길  17 (상북면, 102동 104호(대우마리나))",055-374-3630,7,개인,2011-12-01
173,양산시,원정노인전문요양원,경상남도 양산시 하북면 송골길  81 (하북면),055-374-5454,29,개인,2011-11-24
174,양산시,웅상어르신센터,경상남도 양산시 서창로 210-2,055-365-1159,17,개인,2011-12-12
175,양산시,주남 행복한 어르신의 집,경상남도 양산시 주남마을길 58,055-382-0210,11,개인,2012-10-26
176,양산시,효성의집,경상남도 양산시 소주회야 1길13 (남양상가 2층),055-372-1060,9,개인,2013-10-15
177,양산시,굿모닝요양원,경상남도 양산시 상동마을길24-14,055-372-5215,16,개인,2013-12-04
178,양산시,한마음요양원,경상남도 양산시 상북면 소석3길  56 (상북면),055-375-9138,43,개인,2017-10-10
179,양산시,인애노인복지센터,경상남도 양산시 삼려2길10,055-362-1162,8,개인,2023-01-30
180,양산시,평산노인요양센터,경상남도 양산시 신명3길 7(평산동),055-781-1030,48,개인,2019-04-15
181,양산시,보금자리요양원,경상남도 양산시 하북면 초산로  22 (하북면),055-362-8811,79,개인,2020-03-23
182,양산시,덕계효성의집,경상남도 양산시 덕계서로 175-2,055-362-8855,21,개인,2020-04-09
183,양산시,세호요양원,경상남도 양산시 덕계7길 12,055-388-2557,13,개인,2021-08-26
184,양산시,우리들노인요양원,경상남도 양산시 주신길 5,055-912-1211,22,개인,2022-02-28
185,양산시,진성예담요양원,경상남도 양산시 주남마을2길 22,055-366-6500,50,주식회사,2022-10-18
186,양산시,칸나요양원,경상남도 양산시 백동 1길 20 (소주동),055-383-3836,20,개인,2022-10-18
187,양산시,덕계효요양원,경상남도 양산시 장흥2길 15(평산동),055-366-1048,8,개인,2023-01-09
188,양산시,행복한 요양원,경상남도 양산시 상북면 반회서7길  16 (상북면),055-785-5911,20,개인,2023-03-27
189,양산시,따스한노인요양원,경상남도 양산시 상북면 반회서7길  16 (상북면),055-785-5911,8,개인,2023-03-27
190,양산시,풀꽃사랑채,경상남도 양산시 매곡외산로 227-1,055-365-2720,9,개인,2019-04-09
191,양산시,으뜸요양원,경상남도 양산시 평산북2길 19 (평산동),055-363-3488,9,개인,2022-04-21
192,의령군,의령요양원,경상남도 의령군 가례면 가례로  667-7 (가례면),055-574-3300,76,사회복지법인,2008.05.26
193,의령군,일붕효누리요양원,경상남도 의령군 궁류면 청정로  1224 (궁류면),055-572-5688,30,사회복지법인,2013-07-03
194,의령군,정남요양원,경상남도 의령군 의령읍 벽화로  582 (의령읍),055-574-2146,23,사회복지법인,2024-01-21
195,의령군,조은 실버홈,경상남도 의령군 의령읍 백산로2길  1 (의령읍),055-572-5550,9,개인,2021-09-07
196,의령군,효은공동생활가정,경상남도 의령군 의령읍 중리로  161-4 (의령읍),055-573-8585,9,개인,2023-02-17
197,함안군,새길동산,경상남도 함안군 대산면 옥렬로  147 (대산면),055-585-5661,98,사회복지법인,2005-08-16
198,함안군,함안 안나의 집,경상남도 함안군 대산면 함의로  944 (대산면),055-582-0252,9,종교법인,2008-03-25
199,함안군,사마리아집,"경상남도 함안군 가야읍 비봉로  75-52 (가야읍, 사마리아집)",055-585-6331,20,개인,2008-06-02
200,함안군,가나안복지센터,경상남도 함안군 군북면 의산삼일로  1506 (군북면),055-585-0208,6,개인,2008-07-03
201,함안군,새길동산 신관,경상남도 함안군 대산면 옥렬로  145 (대산면),055-584-0031,64,사회복지법인,2010-04-28
202,함안군,함안송케어노인전문요양원,경상남도 함안군 군북면 하림2길  4 (군북면),055-585-2238,19,사회복지법인,2011-09-19
203,함안군,정다운집소규모노인요양센터,경상남도 함안군 칠원읍 큰오곡길  63 (칠원읍),055-586-8866,28,사회복지법인,2012-06-01
204,함안군,아름다운동산,경상남도 함안군 가야읍 묘사1길  371 (가야읍),055-583-7779,21,개인,2012-09-05
205,함안군,대산사랑방,경상남도 함안군 대산면 옥렬6길  22 (대산면),055-582-8662,17,사회복지법인,2013-04-01
206,함안군,대산노인요양원,경상남도 함안군 대산면 대산중앙로  147-30 (대산면),055-582-2160,36,재단법인,2013-12-01
207,함안군,옹달샘 노인요양공동생활가정,경상남도 함안군 가야읍 북실길  108-8 (가야읍),055-584-6991,9,개인,2014-06-02
208,함안군,건강한부모님집,경상남도 함안군 산인면 모곡3길  27-26 (산인면),055-582-1102,27,개인,2015-06-18
209,함안군,큰빛요양원,경상남도 함안군 칠원읍 경남대로  1542 (칠원읍),055-587-9886,28,개인,2021-02-23
210,함안군,늘푸른전문요양원,경상남도 함안군 칠원읍 용산2길  45-15 (칠원읍),055-587-3388,44,개인,2023-09-14
211,함안군,유원실버센터,경상남도 함안군 칠원읍 유원길  104 (칠원읍),055-587-8899,10,개인,2024-03-27
212,함안군,함안요양원,경상남도 함안군 칠원읍 용산2길  45-13 4층 (칠원읍),055-586-5002,11,의료법인,2024-07-26
213,창녕군,창녕군새누리노인종합센터,경상남도 창녕군 남지읍 덕동길  55 (남지읍),055-526-1796,24,사회복지법인,2007-07-31
214,창녕군,나자렛소규모요양센터,경상남도 창녕군 성산면 운봉길  25-12 (성산면),055-532-7811,17,재단법인,2007-10-12
215,창녕군,반야노블카운티,경상남도 창녕군 계성면 사리길  145-21 (계성면),070-7765-1533,26,사회복지법인,2012-05-01
216,창녕군,부곡온천요양원,경상남도 창녕군 부곡면 원앙로  74 (부곡면),055-536-6530,29,사회복지법인,2012-05-10
217,창녕군,시온요양원,경상남도 창녕군 유어면 선소1길  15 (유어면),055-533-8090,23,사회복지법인,2012-08-30
218,창녕군,창녕군노인전문요양원,경상남도 창녕군 부곡면 수성길  103 (부곡면),055-521-9988,78,사회복지법인,2013-09-30
219,창녕군,함박향로원,경상남도 창녕군 영산면 온천로  103-15 (영산면),055-521-1119,0,개인,2019-07-18
220,창녕군,케어홈요양원,경상남도 창녕군 남지읍 남지중앙1길  46 (남지읍),055-526-1700,58,개인,2021-11-30
221,창녕군,창녕군치매전담요양원,경상남도 창녕군 대합면 평지퇴산로  53-2 (대합면),055-530-5900,92,사회복지법인,2021-12-20
222,창녕군,케이엔요양원,경상남도 창녕군 남지읍 남지중앙로  45 (남지읍),055-526-2008,27,의료법인,2023-09-06
223,고성군,고성시니어스,경상남도 고성군 대가면 대가로  520 (대가면),055-673-7588,55,사회복지법인,2008-06-09
224,고성군,한올생명의집,경상남도 고성군 삼산면 병산3길  147-7 (삼산면),055-673-9115,53,사회복지법인,2008-07-08
225,고성군,햇빛내리는집,경상남도 고성군 영오면 옥천로  1452 (영오면),055-672-6068,9,개인,2009-03-29
226,고성군,효경의집,경상남도 고성군 마암면 남해안대로  3268-92 (마암면),055-673-6637,28,사회복지법인,2009-05-19
